pollster_id,pollster,sponsors,transparency_score,state,start_date,end_date,sponsor_candidate_party,endorsed_candidate_name,endorsed_candidate_party,sample_size,population,race_id,cycle,election_date,candidate_id
62,Pollster C,Sponsor 1,0.5,CA,2024-09-07,2024-06-16,Republican,Candidate B,Republican,1957,Likely Voters,10,2024,2024-11-05,179
49,Pollster A,Sponsor 2,2.5,CA,2024-01-29,2024-02-20,Republican,Candidate B,Democratic,619,Likely Voters,1,2024,2024-11-05,180
18,Pollster B,Sponsor 2,9.5,TX,2024-03-27,2024-04-24,Republican,Candidate B,Democratic,1614,Likely Voters,10,2024,2024-11-05,112
65,Pollster C,Sponsor 1,7.5,PA,2024-05-06,2024-07-29,Republican,Candidate B,Democratic,1491,Likely Voters,6,2024,2024-11-05,164
87,Pollster C,Sponsor 1,7,PA,2024-07-17,2024-01-25,Republican,Candidate A,Republican,1200,Likely Voters,3,2024,2024-11-05,113
80,Pollster B,Sponsor 2,0,FL,2024-02-23,2024-01-14,Democratic,Candidate B,Democratic,1250,Adults,8,2024,2024-11-05,180
72,Pollster A,Sponsor 3,6.5,PA,2024-07-03,2024-06-12,Republican,Candidate B,Democratic,1428,Adults,10,2024,2024-11-05,121
40,Pollster C,Sponsor 2,6.5,TX,2024-02-29,2024-02-19,Republican,Candidate A,Republican,1063,Likely Voters,6,2024,2024-11-05,191
10,Pollster A,Sponsor 1,8.5,NY,2024-05-22,2024-04-25,Republican,Candidate A,Democratic,678,Likely Voters,2,2024,2024-11-05,188
88,Pollster B,Sponsor 2,6.5,PA,2024-03-01,2024-09-08,Republican,Candidate B,Republican,1739,Likely Voters,4,2024,2024-11-05,110
86,Pollster B,Sponsor 3,NA,FL,2024-02-12,2024-01-05,Republican,Candidate A,Republican,896,Adults,9,2024,2024-11-05,110
7,Pollster A,Sponsor 3,4,TX,2024-02-15,2024-03-31,Republican,Candidate B,Republican,1604,Adults,6,2024,2024-11-05,135
83,Pollster C,Sponsor 2,1.5,FL,2024-07-30,2024-07-16,Democratic,Candidate B,Republican,1922,Likely Voters,4,2024,2024-11-05,178
56,Pollster C,Sponsor 1,4.5,NY,2024-01-14,2024-04-22,Democratic,Candidate A,Democratic,606,Adults,6,2024,2024-11-05,180
95,Pollster B,Sponsor 2,1.5,FL,2024-03-11,2024-08-26,Republican,Candidate B,Democratic,1747,Adults,2,2024,2024-11-05,105
93,Pollster C,Sponsor 1,NA,PA,2024-01-31,2024-01-29,Democratic,Candidate B,Democratic,1580,Likely Voters,5,2024,2024-11-05,163
39,Pollster C,Sponsor 1,0,CA,2024-05-08,2024-06-18,Republican,Candidate B,Democratic,1086,Adults,3,2024,2024-11-05,200
62,Pollster A,Sponsor 3,NA,CA,2024-03-22,2024-06-05,Republican,Candidate B,Democratic,1689,Adults,4,2024,2024-11-05,183
33,Pollster B,Sponsor 1,0,NY,2024-05-28,2024-10-01,Republican,Candidate B,Democratic,833,Likely Voters,6,2024,2024-11-05,125
36,Pollster B,Sponsor 1,4.5,FL,2024-04-07,2024-04-23,Democratic,Candidate A,Democratic,1851,Adults,1,2024,2024-11-05,153
36,Pollster C,Sponsor 2,3,PA,2024-03-15,2024-04-25,Republican,Candidate A,Republican,1209,Adults,4,2024,2024-11-05,113
46,Pollster C,Sponsor 3,5.5,PA,2024-09-13,2024-07-22,Republican,Candidate B,Democratic,989,Likely Voters,4,2024,2024-11-05,182
24,Pollster B,Sponsor 1,4.5,PA,2024-09-26,2024-03-01,Democratic,Candidate A,Republican,808,Adults,8,2024,2024-11-05,140
62,Pollster A,Sponsor 3,2,FL,2024-07-31,2024-04-10,Democratic,Candidate A,Democratic,995,Adults,4,2024,2024-11-05,190
59,Pollster B,Sponsor 1,9.5,NY,2024-01-19,2024-06-06,Republican,Candidate A,Republican,518,Likely Voters,6,2024,2024-11-05,167
82,Pollster C,Sponsor 2,1,PA,2024-02-18,2024-04-07,Democratic,Candidate A,Republican,503,Likely Voters,7,2024,2024-11-05,161
2,Pollster C,Sponsor 1,5.5,NY,2024-05-12,2024-07-26,Republican,Candidate B,Republican,1862,Adults,4,2024,2024-11-05,191
29,Pollster B,Sponsor 3,1,TX,2024-04-29,2024-10-02,Republican,Candidate B,Republican,1786,Likely Voters,7,2024,2024-11-05,123
15,Pollster A,Sponsor 3,2,NY,2024-04-02,2024-01-08,Republican,Candidate A,Republican,1684,Adults,5,2024,2024-11-05,199
54,Pollster B,Sponsor 3,4.5,CA,2024-01-01,2024-02-26,Democratic,Candidate B,Democratic,1449,Likely Voters,10,2024,2024-11-05,158
17,Pollster C,Sponsor 2,0.5,FL,2024-06-24,2024-08-11,Democratic,Candidate B,Republican,625,Adults,8,2024,2024-11-05,122
51,Pollster B,Sponsor 3,2,CA,2024-06-30,2024-09-02,Democratic,Candidate B,Republican,1477,Likely Voters,1,2024,2024-11-05,173
53,Pollster C,Sponsor 3,NA,FL,2024-01-20,2024-05-19,Democratic,Candidate A,Republican,707,Adults,5,2024,2024-11-05,161
61,Pollster B,Sponsor 3,0.5,CA,2024-01-14,2024-09-19,Democratic,Candidate A,Democratic,1642,Likely Voters,2,2024,2024-11-05,193
77,Pollster A,Sponsor 1,7.5,PA,2024-08-20,2024-01-24,Democratic,Candidate B,Republican,1702,Adults,10,2024,2024-11-05,187
23,Pollster B,Sponsor 3,9.5,CA,2024-09-15,2024-09-30,Republican,Candidate A,Democratic,1795,Likely Voters,2,2024,2024-11-05,101
54,Pollster B,Sponsor 3,4.5,TX,2024-05-04,2024-02-17,Republican,Candidate A,Democratic,1747,Likely Voters,5,2024,2024-11-05,152
26,Pollster C,Sponsor 3,5.5,CA,2024-07-10,2024-07-25,Democratic,Candidate B,Republican,819,Likely Voters,1,2024,2024-11-05,128
13,Pollster A,Sponsor 2,10,PA,2024-01-01,2024-01-06,Democratic,Candidate B,Republican,666,Adults,5,2024,2024-11-05,196
39,Pollster C,Sponsor 1,2.5,CA,2024-08-26,2024-07-29,Democratic,Candidate A,Republican,1477,Adults,4,2024,2024-11-05,109
55,Pollster B,Sponsor 1,5,TX,2024-05-19,2024-04-07,Democratic,Candidate B,Democratic,1585,Likely Voters,5,2024,2024-11-05,182
15,Pollster B,Sponsor 2,7.5,NY,2024-06-06,2024-03-15,Democratic,Candidate A,Republican,805,Adults,6,2024,2024-11-05,108
80,Pollster C,Sponsor 1,4.5,TX,2024-06-01,2024-01-05,Democratic,Candidate B,Democratic,851,Likely Voters,10,2024,2024-11-05,118
60,Pollster B,Sponsor 3,2,CA,2024-08-23,2024-03-02,Republican,Candidate A,Republican,811,Likely Voters,1,2024,2024-11-05,100
30,Pollster A,Sponsor 2,10,NY,2024-09-15,2024-04-11,Republican,Candidate B,Republican,1254,Likely Voters,5,2024,2024-11-05,140
57,Pollster B,Sponsor 2,1,FL,2024-04-16,2024-09-01,Republican,Candidate B,Democratic,1923,Likely Voters,7,2024,2024-11-05,193
85,Pollster B,Sponsor 2,9.5,TX,2024-04-05,2024-08-22,Republican,Candidate A,Republican,598,Adults,7,2024,2024-11-05,130
25,Pollster B,Sponsor 1,6.5,TX,2024-05-10,2024-04-03,Republican,Candidate A,Democratic,1754,Likely Voters,10,2024,2024-11-05,106
30,Pollster A,Sponsor 2,4.5,NY,2024-09-30,2024-05-18,Democratic,Candidate A,Republican,1518,Likely Voters,9,2024,2024-11-05,160
64,Pollster C,Sponsor 3,10,TX,2024-02-03,2024-02-07,Republican,Candidate B,Republican,1456,Likely Voters,6,2024,2024-11-05,150
